rank,goal_id,goal,priority
1,1,"No Poverty",0.058823529411765
2,2,"Zero Hunger",0.058823529411765
3,3,"Good Health and Well-being",0.058823529411765
4,4,"Quality Education",0.058823529411765
5,5,"Gender Equality",0.058823529411765
6,6,"Clean Water and Sanitation",0.058823529411765
7,7,"Affordable and Clean Energy",0.058823529411765
8,8,"Decent Work and Economic Growth",0.058823529411765
9,9,"Industry, Innovation and Infrastructure",0.058823529411765
10,10,"Reduced Inequality",0.058823529411765
11,11,"Sustainable Cities and Communities",0.058823529411765
12,12,"Responsible Consumption and Production",0.058823529411765
13,13,"Climate Action",0.058823529411765
14,14,"Life Below Water",0.058823529411765
15,15,"Life on Land",0.058823529411765
16,16,"Peace and Justice Strong Institutions",0.058823529411765
17,17,"Partnerships to achieve the Goal",0.058823529411765
