species,frequency,final_total,final_richness,mean_total
1,0.1,49.21814948942061,1.0,54.716868959969176
1,0.25,42.490686629012714,1.0,42.744273690205546
1,0.5,19.758365005626242,1.0,28.35058878311012
2,0.1,40.97001456959906,1.0,47.72325873464708
2,0.25,35.80554677700803,1.0,38.19947213770074
2,0.5,18.73427527194267,1.0,27.390173905148195
4,0.1,43.43363169037266,1.0,49.78895982227082
4,0.25,38.03386762177482,1.0,39.95686310964374
4,0.5,19.986643592560938,1.0,28.446741766667383
8,0.1,44.32012471889182,1.0,50.53362352933175
8,0.25,38.84406079880311,1.0,40.601094673225134
8,0.5,20.470836630374862,1.0,28.848204247099602
12,0.1,44.585015398242945,1.0,50.75625017693515
12,0.25,39.0872344386444,1.0,40.79488307253767
12,0.5,20.62078247792406,0.8333333333333334,28.970877578702858
