year,total,richness,drought
0,93.31033086480997,1.0,0
1,79.14218109387538,1.0,1
2,76.19481128471142,1.0,0
3,64.44912630380601,1.0,1
4,63.431661324740055,1.0,0
5,62.52561281909179,1.0,0
6,54.18901255664107,1.0,1
7,54.16068584417632,1.0,0
8,52.575330972059106,1.0,1
9,52.67519509672183,1.0,0
10,47.344940117667136,1.0,1
11,47.808487455624814,1.0,0
12,40.807260601283545,1.0,1
13,34.494543794002745,1.0,1
14,35.51020031616081,1.0,0
15,36.50011205934149,1.0,0
16,37.461952043354515,1.0,0
17,38.39370526573199,1.0,0
18,39.29367663294673,1.0,0
19,32.797920501105146,1.0,1
20,33.84965733926445,1.0,0
21,34.88005003395333,1.0,0
22,35.88629980280596,1.0,0
23,36.86589227426036,1.0,0
24,33.55783101366985,1.0,1
25,34.59448049258631,1.0,0
26,35.607741368231764,1.0,0
27,36.59501758004668,1.0,0
28,37.554011980677416,1.0,0
29,38.48274047177206,1.0,0
30,39.379539278058814,1.0,0
31,40.243065687014386,1.0,0
32,36.22399834330288,1.0,1
33,31.71983274329611,1.0,1
34,30.75811522992672,1.0,1
35,31.841718726532825,1.0,0
36,32.90996188027236,1.0,0
37,33.959583772044425,1.0,0
38,34.98755309596871,1.0,0
39,35.99110000773173,1.0,0
40,36.96774142537524,1.0,0
41,37.915299446950165,1.0,0
42,38.831912819706865,1.0,0
43,33.08547206359013,1.0,1
44,32.41071261988904,1.0,1
45,28.45180094789913,1.0,1
46,29.556225618052565,1.0,0
47,30.652698691455527,1.0,0
48,31.73760648638377,1.0,0
49,32.807479916836584,1.0,0
50,33.859037786097446,1.0,0
51,34.88922510588123,1.0,0
52,33.01678398093969,1.0,1
53,34.06435415329812,1.0,0
54,35.08997989671116,1.0,0
55,36.09091927117092,1.0,0
56,37.06471927313314,1.0,0
57,38.00923355052767,1.0,0
58,38.922633177141066,1.0,0
59,36.557993283840624,1.0,1
60,37.51810100463629,1.0,0
61,34.88773603509499,1.0,1
62,35.893793714343374,1.0,0
63,34.59621890409032,1.0,1
64,35.6094378413273,1.0,0
65,34.04308028007969,1.0,1
66,35.069184567844545,1.0,0
67,36.07065589109196,1.0,0
68,37.04503511877017,1.0,0
69,37.99016947800702,1.0,0
70,38.90422346952631,1.0,0
71,39.785683046542395,1.0,0
72,40.63335348159058,1.0,0
73,39.217903597633764,1.0,1
74,40.08760381318562,1.0,0
75,40.923169417475265,1.0,0
76,41.72382385237546,1.0,0
77,42.489083682598064,1.0,0
78,37.09015636936221,1.0,1
79,38.03386762177482,1.0,0
