scenario,richness,final_total_mean,final_total_sd,persistence_probability
historical,1,0.9999999950245775,1.2383593622400052e-09,1.0
historical,2,0.6395618843141568,1.472592974310641e-08,1.0
historical,4,0.34880928764509816,9.493676010103434e-07,1.0
historical,8,0.17863203913232084,2.273340346590919e-06,1.0
historical,16,0.09008834436960254,3.832892767029958e-06,1.0
frequent_drought,1,0.9999999574275739,1.087600793790456e-08,1.0
frequent_drought,2,0.6395620087976628,3.969393000137881e-08,1.0
frequent_drought,4,0.3488041368881061,2.3082355388000973e-06,1.0
frequent_drought,8,0.17860069143968277,5.191866960966278e-06,1.0
frequent_drought,16,0.0900504136765157,6.818230791823398e-06,1.0
rare_drought,1,0.9999999984239375,2.2186215126036953e-10,1.0
rare_drought,2,0.6395618384373349,1.0099848467584864e-08,1.0
rare_drought,4,0.3488104896059204,4.220657950766452e-07,1.0
rare_drought,8,0.17864294756639276,1.1133906866819393e-06,1.0
rare_drought,16,0.09010405028495067,2.0708319158527292e-06,1.0
pollution_habitat_loss,1,0.6500000000000001,1.1390647892519134e-16,1.0
pollution_habitat_loss,2,0.41572887119568736,6.692107568530301e-07,1.0
pollution_habitat_loss,4,0.2267363565370395,1.8213919187679495e-06,1.0
pollution_habitat_loss,8,0.11609115515235457,2.477514150985419e-06,1.0
pollution_habitat_loss,16,0.05852682930311024,3.416106189521758e-06,1.0
