pressure,compensation,winner,score
0.8,0.0,community_conservancy|community_conservancy|corridor_restoration|corridor_restoration,0.751425
0.8,0.2,community_conservancy|community_conservancy|corridor_restoration|community_conservancy,0.7595999999999999
0.8,0.4,community_conservancy|community_conservancy|corridor_restoration|community_conservancy,0.7720999999999999
1.0,0.0,community_conservancy|community_conservancy|corridor_restoration|corridor_restoration,0.744
1.0,0.2,community_conservancy|community_conservancy|corridor_restoration|community_conservancy,0.752625
1.0,0.4,community_conservancy|community_conservancy|corridor_restoration|community_conservancy,0.7651249999999999
1.2,0.0,community_conservancy|community_conservancy|corridor_restoration|corridor_restoration,0.730575
1.2,0.2,community_conservancy|community_conservancy|corridor_restoration|community_conservancy,0.7396499999999999
1.2,0.4,community_conservancy|community_conservancy|corridor_restoration|community_conservancy,0.7521499999999999
1.4,0.0,community_conservancy|community_conservancy|corridor_restoration|corridor_restoration,0.71715
1.4,0.2,community_conservancy|community_conservancy|corridor_restoration|community_conservancy,0.726675
1.4,0.4,community_conservancy|community_conservancy|corridor_restoration|community_conservancy,0.7391749999999999
