goal_id,goal_name,value
1,No Poverty,1
2,Zero Hunger,1
3,Good Health and Well-being,1
4,Quality Education,1
5,Gender Equality,1
6,Clean Water and Sanitation,1
7,Affordable and Clean Energy,1
8,Decent Work and Economic Growth,1
9,"Industry, Innovation and Infrastructure",1
10,Reduced Inequality,1
11,Sustainable Cities and Communities,1
12,Responsible Consumption and Production,1
13,Climate Action,1
14,Life Below Water,1
15,Life on Land,1
16,Peace and Justice Strong Institutions,1
17,Partnerships to achieve the Goal,1
