goal_id,goal_name,value
1,No Poverty,0
2,Zero Hunger,0
3,Good Health and Well-being,0
4,Quality Education,0
5,Gender Equality,0
6,Clean Water and Sanitation,0
7,Affordable and Clean Energy,0
8,Decent Work and Economic Growth,0
9,"Industry, Innovation and Infrastructure",0
10,Reduced Inequality,0
11,Sustainable Cities and Communities,0
12,Responsible Consumption and Production,0
13,Climate Action,0
14,Life Below Water,0
15,Life on Land,0
16,Peace and Justice Strong Institutions,0
17,Partnerships to achieve the Goal,0
