goal_id,goal_name,value
1,No Poverty,0.0588235294118
2,Zero Hunger,0.0588235294118
3,Good Health and Well-being,0.0588235294118
4,Quality Education,0.0588235294118
5,Gender Equality,0.0588235294118
6,Clean Water and Sanitation,0.0588235294118
7,Affordable and Clean Energy,0.0588235294118
8,Decent Work and Economic Growth,0.0588235294118
9,"Industry, Innovation and Infrastructure",0.0588235294118
10,Reduced Inequality,0.0588235294118
11,Sustainable Cities and Communities,0.0588235294118
12,Responsible Consumption and Production,0.0588235294118
13,Climate Action,0.0588235294118
14,Life Below Water,0.0588235294118
15,Life on Land,0.0588235294118
16,Peace and Justice Strong Institutions,0.0588235294118
17,Partnerships to achieve the Goal,0.0588235294118
