scenario,richness,composition,terminal_mean,terminal_median,terminal_sd,survival_probability,mean_cv
richness_1,1,mixed,0.7331758645213918,0.7248940470031567,0.028996851307562667,1.0,0.10337287157313473
richness_2,2,mixed,1.0827842038158957,1.0775775949050614,0.01871859652419641,1.0,0.03824931045350626
richness_3,3,mixed,1.196905938059873,1.1907355666082726,0.02113451387620415,1.0,0.039384294177855744
richness_4,4,mixed,1.263660031993585,1.2571190664829124,0.021688697274389178,1.0,0.0384463061457886
richness_5,5,mixed,1.3075370637024195,1.3010294919355951,0.021448642740930276,1.0,0.03705640863499092
richness_6,6,mixed,1.3392512979322404,1.3329229262642162,0.021013231343925885,1.0,0.035708393723979825
richness_7,7,mixed,1.3637615756037957,1.3576177611794131,0.020584171457823066,1.0,0.034526791189333876
richness_8,8,mixed,1.3835028095719075,1.3775358063504988,0.020180886424510994,1.0,0.0335045774447157
richness_9,9,mixed,1.3998882196568672,1.3940842789644114,0.019813567598414687,1.0,0.03261883366028788
richness_10,10,mixed,1.4137965682585898,1.4081413495923423,0.019481549639887494,1.0,0.031846117439661814
