parameter,value,scenario,richness,composition,terminal_mean,terminal_median,terminal_sd,survival_probability,mean_cv
facilitation,0.1,sens_facilitation_0.1,4,mixed,1.2606039354669933,1.2538210395482199,0.02268573126607963,1.0,0.040004911394065736
facilitation,0.22,sens_facilitation_0.22,4,mixed,1.263660031993585,1.2571190664829124,0.021688697274389178,1.0,0.0384463061457886
facilitation,0.34,sens_facilitation_0.34,4,mixed,1.2666362471134327,1.2603346387269116,0.020735772115808328,1.0,0.03693589794338743
competition,0.4,sens_competition_0.4,4,mixed,1.5231036726485874,1.5150488275295506,0.028612361165926806,1.0,0.04414881193651394
competition,0.55,sens_competition_0.55,4,mixed,1.263660031993585,1.2571190664829124,0.021688697274389178,1.0,0.0384463061457886
competition,0.7,sens_competition_0.7,4,mixed,1.0842175933631957,1.0800656811132638,0.01408961428985152,1.0,0.029137479334452907
drought_probability,0.12,sens_drought_probability_0.12,4,mixed,1.269084973539149,1.26826568999638,0.02046203973087904,1.0,0.03321483492342088
drought_probability,0.2,sens_drought_probability_0.2,4,mixed,1.263660031993585,1.2571190664829124,0.021688697274389178,1.0,0.0384463061457886
drought_probability,0.3,sens_drought_probability_0.3,4,mixed,1.2554534834131958,1.2574874236150433,0.019937941077921083,1.0,0.03803756386850289
habitat_fraction,0.65,sens_habitat_fraction_0.65,4,mixed,0.8213713137799364,0.8171197908708849,0.014095062667307784,1.0,0.03844246022593162
habitat_fraction,0.82,sens_habitat_fraction_0.82,4,mixed,1.0361967651370771,1.0308332449969355,0.017783243239959938,1.0,0.038444543707728644
habitat_fraction,1.0,sens_habitat_fraction_1.0,4,mixed,1.263660031993585,1.2571190664829124,0.021688697274389178,1.0,0.0384463061457886
