hull_type,make,variant,n,predicted_median_usd,prediction_low_95_usd,prediction_high_95_usd,within_variant_sigma_log
monohull,Alliage,44,1,204712.12732712482,117017.4522618431,358126.5380912926,0.20177134958507498
monohull,Alliage,AZZURO 53,1,431829.9162398666,246842.41851527442,755449.8845107983,0.20177134958507498
monohull,Allures,44,3,245420.8885218018,165939.5172034997,362972.0848769612,0.17291844454686806
monohull,Alubat,CIGALE 16,1,354470.3927915628,202622.20322902862,620115.9466407563,0.20177134958507498
monohull,Alubat,Ovni 395,3,183851.74639613024,129472.31626127024,261070.9812644188,0.1549401730771793
monohull,Amel,54,3,439182.20910733665,401859.15533925913,479971.6772249859,0.039241870886552635
monohull,Archambault,40 RC,6,134404.95392697921,116411.21208219446,155179.9978455552,0.06789115908516052
monohull,Azuree,40,1,153778.95151799888,87903.05368366597,269023.2584532986,0.20177134958507498
monohull,Azuree,46,1,361584.9960115414,206689.04945609867,632562.3427303861,0.20177134958507498
monohull,B-Yachts,38,1,149772.0030703958,85612.60365119771,262013.441328213,0.20177134958507498
monohull,B-Yachts,Brenta B42,1,324083.0483529829,185252.203348545,566955.8598023917,0.20177134958507498
monohull,Bavaria,38 Cruiser,11,74150.11320130847,50406.39566449489,109078.20754261337,0.18854159214188543
monohull,Bavaria,39 Cruiser,23,84863.61969618803,57937.65971333333,124303.15590192641,0.19063350495639153
monohull,Bavaria,40 Cruiser,28,109574.81620845052,75875.37679134787,158241.5910781327,0.18424657892742172
monohull,Bavaria,40S Cruiser,10,111834.17662992123,77441.661084256,161500.7075956831,0.17877049736550982
monohull,Bavaria,41 Cruiser,23,175379.2949583133,128618.46007010409,239140.6107903198,0.15488342537209257
monohull,Bavaria,42 Cruiser,11,102075.91413970923,71657.3990150273,145407.0673884244,0.17283531678201128
monohull,Bavaria,42 Match,4,77197.73611270598,55949.72963661063,106515.08952113694,0.14690351881569552
monohull,Bavaria,42 Vision,1,155222.78741094773,88728.37849408668,271549.12712881406,0.20177134958507498
monohull,Bavaria,44 Vision,3,134807.24971683032,108817.13024576072,167004.9057089872,0.09463413472264397
monohull,Bavaria,45 Cruiser,20,160351.9899052126,117313.00866849611,219180.8134357946,0.1556091016590269
monohull,Bavaria,46 Cruiser,1,158917.03893155514,90840.08485267054,278011.9074495885,0.20177134958507498
monohull,Bavaria,47 Cruiser,4,145256.8032856353,61134.99016690712,345130.3229649182,0.3949255919842909
monohull,Bavaria,49 Cruiser,2,146888.48361094279,97119.0729846302,222162.60878990064,0.17235405571911944
monohull,Bavaria,50 Cruiser,40,140901.11294939157,91576.92951307762,216791.75897180612,0.2171387145970503
monohull,Bavaria,51 Cruiser,30,222215.94333213166,148474.73831186118,332581.32684679294,0.20238657911875382
monohull,Bavaria,51 Cruiser Style,1,284659.57024873054,162716.97288958772,497987.82201519894,0.20177134958507498
monohull,Bavaria,56 Cruiser,29,277967.33236609405,189719.95947610994,407262.56781881786,0.1915993107907838
monohull,Bavaria,C45 Holiday,3,279930.23167938256,234642.07875772225,333959.4288583836,0.07797724353012586
monohull,Bavaria,Cruiser 46,76,124959.16718284569,89905.8163119568,173679.4581659755,0.16687733538009103
monohull,Bavaria,Cruiser 46 Style,1,223120.3754605287,127539.96661065143,390330.2099617276,0.20177134958507498
monohull,Bavaria,Cruiser 46S,1,240384.21896973773,137408.3169134482,420531.8428147884,0.20177134958507498
monohull,Bavaria,Cruiser 50,3,169819.95777277573,117974.14434356785,244450.32611520417,0.16095405527460954
monohull,Bavaria,Vision 46,8,242116.0252766334,187080.15879488277,313342.52693267877,0.12404667132679179
monohull,Beneteau,40,1,144219.84934389734,82438.88408644157,252300.41836771107,0.20177134958507498
monohull,Beneteau,41.1,1,177362.32659415068,101383.77172015463,310280.3768409869,0.20177134958507498
monohull,Beneteau,423,4,115660.17526881359,80779.07763887623,165603.22962606655,0.16379808346388844
monohull,Beneteau,43,7,159705.24471264987,117437.49061662793,217185.88378212528,0.1467186418542648
monohull,Beneteau,523,2,293111.7164743199,224670.5975472899,382401.96657881927,0.1107763001115245
monohull,Beneteau,56,2,307596.8885511639,197689.2821750872,478608.8795777955,0.18416730505693835
monohull,Beneteau,America 50,2,165917.1034569787,23640.537063862717,1164461.0757017964,0.8117164834042905
monohull,Beneteau,Cyclades 39.3,25,86060.78280750218,59182.984108515295,125145.0640586137,0.18732080349038355
monohull,Beneteau,Cyclades 43,1,118314.56866325805,67630.919434048,206981.3226718533,0.20177134958507498
monohull,Beneteau,Cyclades 43.3,6,108614.05359942862,96454.71397710391,122306.23214641317,0.05608164377269096
monohull,Beneteau,Cyclades 43.4,10,107051.40107552634,88933.85547637669,128859.84095536372,0.0901976613812368
monohull,Beneteau,Cyclades 50.5,21,161355.6499888466,102881.72333988144,253063.85758441722,0.22432857243462423
monohull,Beneteau,First 40,11,123801.52056891275,62217.13078131631,246343.994052801,0.33610051992266343
monohull,Beneteau,First 40 CR,2,131918.22691408923,107828.77887536072,161389.3690873806,0.08399818938787185
monohull,Beneteau,First 40.7,4,119612.73108878842,69043.42953008536,207220.3761588134,0.25076980451274233
monohull,Beneteau,First 44.7,9,157013.21174260692,126225.45217709891,195310.44045807375,0.10564282707591378
monohull,Beneteau,First 45,8,172709.9583379451,115526.55251444131,258198.04244020887,0.19342653494394632
monohull,Beneteau,First 47.7,1,146215.47607678865,83579.62332352351,255791.5984091883,0.20177134958507498
monohull,Beneteau,First 50,11,226823.98580532213,182482.35410702837,281940.249995007,0.10625528252629841
monohull,Beneteau,First 50 Sport,1,202598.33319153712,115809.16622826953,354428.6341815451,0.20177134958507498
monohull,Beneteau,Moorings 42.3,1,151142.16212227027,86395.81333954043,264410.4186069364,0.20177134958507498
monohull,Beneteau,Moorings 43.5,1,170988.54532511756,97740.39379665392,299129.98604473285,0.20177134958507498
monohull,Beneteau,OCEANIS 55,1,365525.8347080114,208941.70986296798,639456.5064419856,0.20177134958507498
monohull,Beneteau,Oceanis 38,14,167297.2132719401,135817.47964356464,206073.30987151893,0.1027507755193175
monohull,Beneteau,Oceanis 38.1,5,180084.5297233786,98829.41746376938,328145.59346744453,0.27946474235503366
monohull,Beneteau,Oceanis 40,35,111047.80414212863,80533.09209879088,153124.8146992944,0.16163202580835903
monohull,Beneteau,Oceanis 41,24,184192.969226719,127588.95321704776,265908.9917826985,0.18354684517022124
monohull,Beneteau,Oceanis 41 Owners Version,1,181058.71768012294,103496.70109611031,316746.90015025524,0.20177134958507498
monohull,Beneteau,Oceanis 41.1,5,199532.74800070561,125779.09810727938,316533.6540317339,0.2149211126199915
monohull,Beneteau,Oceanis 423,12,149748.4917544178,134002.8912764707,167344.23092750408,0.0544578476107073
monohull,Beneteau,Oceanis 43,33,124142.16768879599,87795.75718413042,175535.56450514693,0.17412341837159725
monohull,Beneteau,Oceanis 43 Family,2,135365.07160251515,94877.22670277991,193130.6726255434,0.14804901690463268
monohull,Beneteau,Oceanis 43.4,1,129676.9288545414,74125.86655137588,226858.81001459487,0.20177134958507498
monohull,Beneteau,Oceanis 45,44,212683.86362645018,143035.2872450552,316246.6180081603,0.20014427379514124
monohull,Beneteau,Oceanis 46,23,164246.85584187406,118655.58511220348,227355.75091919402,0.16239771756416857
monohull,Beneteau,Oceanis 46 Family,2,166462.24437690424,161172.451698211,171925.65175394528,0.013452865491357713
monohull,Beneteau,Oceanis 46 Owner Version,1,159831.1779348978,91362.6245701803,279611.1162550258,0.20177134958507498
monohull,Beneteau,Oceanis 46.1,4,345611.43696209573,243845.47050203927,489848.20227778534,0.15916259871383454
monohull,Beneteau,Oceanis 473,9,156016.86608392154,103354.49679386012,235512.3701216097,0.19931996874723854
monohull,Beneteau,Oceanis 48,23,246866.81009884377,177924.3716596806,342523.1819559036,0.16356891459025621
monohull,Beneteau,Oceanis 49,7,252741.79834021634,187956.98288207102,339856.5759502828,0.14134076678423899
monohull,Beneteau,Oceanis 50,38,203213.44347483612,150467.37211025768,274449.55693544145,0.15134331100970705
monohull,Beneteau,Oceanis 50 F G5,1,195296.84869308388,111635.49501057451,341655.30511452886,0.20177134958507498
monohull,Beneteau,Oceanis 50 Family,4,206888.2540690707,157055.28630209915,272533.00846821774,0.12575871129508914
monohull,Beneteau,Oceanis 50.5,4,203959.21459230152,192087.06891621073,216565.13086393304,0.027367323691238347
monohull,Beneteau,Oceanis 51,1,174796.41404458668,99917.04596630191,305791.53003733885,0.20177134958507498
monohull,Beneteau,Oceanis 51.1,6,433068.2340503769,330796.23889977444,566959.5759833772,0.12724958292115549
monohull,Beneteau,Oceanis 523,6,245497.47135634438,138834.17395587312,434107.8765053549,0.269246632685641
monohull,Beneteau,Oceanis 523 A,1,218848.81922797012,125098.26159759932,382857.4839156347,0.20177134958507498
monohull,Beneteau,Oceanis 54,22,238036.23009626142,180424.6328427748,314043.85280260444,0.13827483545730135
monohull,Beneteau,Oceanis 55,16,444758.1189181415,354124.14092996257,558588.8152785547,0.11279542399763232
monohull,Beneteau,Oceanis 55.1,3,602776.2252954466,551399.7382915191,658939.6993680354,0.03936262268931158
monohull,Beneteau,Oceanis Clipper 423,8,112403.11457987799,78698.15216108072,160543.28875977607,0.17147193752945203
monohull,Beneteau,Oceanis Clipper 473,4,147594.33468581672,138695.29843696556,157064.35529427367,0.02837894226358602
monohull,Beneteau,Oceanis Clipper 523,7,214068.1316722169,171450.13492457123,267279.84214065614,0.10595088516441496
monohull,Beneteau,Sense 43,2,183542.4428639782,174313.24721881037,193260.28784369642,0.021492183332484593
monohull,Beneteau,Sense 46,1,206132.14222182808,117829.16052418026,360610.7339468,0.20177134958507498
monohull,Beneteau,Sense 50,12,324457.6475643879,252626.8119612717,416712.55812370026,0.12266551704382883
monohull,Beneteau,Sense 51,1,424599.90985188325,242709.60558227843,742801.6003475018,0.20177134958507498
monohull,Beneteau,Sense 55,2,370502.45743398176,346771.23546629096,395857.7209555302,0.02757541351773707
monohull,Bestevaer,49ST,2,468256.88075025426,318739.84120830277,687910.5716397222,0.16023404245883732
monohull,Bestevaer,53ST,1,440378.66312852094,251729.0492879748,770405.1935500143,0.20177134958507498
monohull,Boreal,44,1,328947.78954202303,188032.98447415495,575466.3127173629,0.20177134958507498
monohull,Boreal,47,1,449115.44159800134,256723.16258660232,785689.4479232088,0.20177134958507498
monohull,C&C,115,5,138591.01160078324,120366.06139778896,159575.45069993677,0.06566598339118922
monohull,C&C,121,1,160772.52690838798,91900.71803833668,281257.92659994063,0.20177134958507498
monohull,Cabo Rico,42,3,264597.49869127164,201652.9437758211,347189.7558386756,0.1200336301456996
monohull,Caliber,40 LRC SE,1,192256.4399708223,109897.53797227357,336336.36742235126,0.20177134958507498
monohull,Caliber,47 LRC SE,2,308757.5710715662,264353.53683629725,360620.2467911287,0.06468196239851132
monohull,Caliber,47LRC,1,310802.10844487266,177660.5585740941,543721.9796508284,0.20177134958507498
monohull,Catalina,375,1,144151.05788537828,82399.56154449751,252180.073534157,0.20177134958507498
monohull,Catalina,385,3,214584.30474609334,198818.45270156232,231600.35307428194,0.03371780652742247
monohull,Catalina,387,4,143954.13765143126,116355.54533101055,178098.89239068585,0.09712941311356024
monohull,Catalina,400 MK II,1,158741.44416059327,90739.71145028961,277704.7192617045,0.20177134958507498
monohull,Catalina,42 MK II,6,179515.0430594259,132835.28431789248,242598.57499538505,0.1422499498474087
monohull,Catalina,42 Mk II,2,150285.63879697354,106791.57988426657,211493.95161202145,0.14232812579420528
monohull,Catalina,425,1,346484.84027761524,198057.50536629735,606145.898486275,0.20177134958507498
monohull,Catalina,445,8,274167.6312989139,240733.70944185834,312244.9707036631,0.06255650063072908
monohull,Catalina,470,4,271288.188798236,237777.18028589187,309522.0546098558,0.06016741678428798
monohull,Catalina,Morgan 440,6,223170.91140841946,173074.91460945774,287767.03897991107,0.12007951104302891
monohull,Catalina,Morgan 440 DS Sloop,1,175907.92934340544,100552.40983123792,307736.0319640145,0.20177134958507498
monohull,Comar,Comet 41S,8,133849.21019899994,99534.01540672014,179994.85902069294,0.14248654775125105
monohull,Comar,Comet 450,1,164643.30578751134,94113.33088457109,288029.52659158246,0.20177134958507498
monohull,Comar,Comet 45S,2,187569.58694284753,123075.20265251459,285860.58919799485,0.17552774165395935
monohull,Comar,Comet 45s,4,177762.17128334285,123556.00446405644,255749.52570241998,0.16599473894611602
monohull,Comar,Comet 51S,1,225172.3545328013,128712.91794610534,393919.9736507858,0.20177134958507498
monohull,Comar,Comet 52 RS,4,263556.20706925547,250701.5080631462,277070.029699368,0.022818678628805256
monohull,Contest,42CS,2,466889.1515655412,459420.13778023486,474479.5926944434,0.00671807655721679
monohull,Contest,45CS,2,340870.91546841746,340870.91546841746,340870.91546841746,0.0
monohull,Contest,50CS,1,347957.8177300543,198899.48806157816,608722.7478533161,0.20177134958507498
monohull,Contest,55CS,1,475148.013030538,271603.8891201702,831231.228014482,0.20177134958507498
monohull,Dehler,37,1,181885.4300530586,103969.26604327481,318193.1634663683,0.20177134958507498
monohull,Dehler,38 Competition,1,214667.76046034595,122708.28670391557,375543.0755239288,0.20177134958507498
monohull,Dehler,39 SQ,2,152528.08755363477,112418.74876196371,206947.84232148298,0.1271060357863627
monohull,Dehler,41,5,191479.8508052027,174836.1645829972,209707.94773399134,0.04235220538042584
monohull,Dehler,41 CR,2,156581.30428975957,139074.7651274271,176291.5423989245,0.049391262961203886
monohull,Dehler,42,3,263637.1847833176,207092.29842736037,335621.19754469075,0.10666661598620875
monohull,Dehler,44,1,183612.71576680397,104956.61631015848,321214.90360963636,0.20177134958507498
monohull,Dehler,44 SQ,1,185488.79969334576,106029.0225431439,324496.95363057865,0.20177134958507498
monohull,Dehler,45,1,225072.61520650896,128655.9049981895,393745.488142267,0.20177134958507498
monohull,Dehler,46,5,408315.4600187046,316043.5759411448,527526.9854601761,0.11930662250115381
monohull,Dehler,47,3,211082.4596364349,199474.4795793015,223365.94064632675,0.024992147657836014
monohull,Dehler,47 SQ,2,230325.43622805274,197772.75808423248,268236.1670410067,0.06347617875908096
monohull,Dehler,Varianta 44,1,235766.32065550514,134768.63599863724,412453.22061430186,0.20177134958507498
monohull,Delphia,40,5,113558.28916768965,58387.73707780055,220859.47639158598,0.30982204974865296
monohull,Delphia,46 cc,1,260842.01558062623,149102.39322223334,456321.0262544473,0.20177134958507498
monohull,Discovery,55,2,730858.6751165811,462424.1138031357,1155117.9686545625,0.19068429696638578
monohull,Dufour,380,1,118669.20998235173,67833.6393420914,207601.73763959087,0.20177134958507498
monohull,Dufour,382 GL,3,129332.97419174234,118143.87557621543,141581.76318239345,0.03998170105477658
monohull,Dufour,385,3,90936.182605881,69888.201006637,118323.11016483059,0.11632185182109676
monohull,Dufour,385 GL,5,98798.6610338829,86386.92448408324,112993.66750678323,0.06252594156410117
monohull,Dufour,390,2,217136.27027951737,201220.9274327662,234310.41926120332,0.03171076268910333
monohull,Dufour,40,1,104698.36938471414,59847.63385215061,183160.9346310713,0.20177134958507498
monohull,Dufour,40 Performance,4,112573.91870090646,87021.06607135243,145630.10709713938,0.11748932405016287
monohull,Dufour,405,1,117951.85859069602,67423.58726885052,206346.79210293439,0.20177134958507498
monohull,Dufour,405 GL,6,127946.10618128744,84487.97115624572,193757.83159332172,0.19602821592485892
monohull,Dufour,40e,1,132465.37779115507,75719.79845265187,231736.96538991385,0.20177134958507498
monohull,Dufour,40e Performance,3,149514.70966813478,123391.56486789817,181168.36779790669,0.0848492928472665
monohull,Dufour,410,3,159130.11636580052,137485.71103272116,184182.00512900256,0.0645994053464514
monohull,Dufour,410 GL,8,176066.97812111527,121402.78737542045,255344.88503002483,0.17882136022888692
monohull,Dufour,412,7,187680.34035201583,151738.16264546913,232136.1320088469,0.10145607907176095
monohull,Dufour,412 GL,6,180119.18854250424,147614.8960342195,219780.81448967996,0.09400473171307518
monohull,Dufour,425,1,140469.00479055094,80294.8280444591,245738.63332670077,0.20177134958507498
monohull,Dufour,425 GL,4,145365.27274217492,117170.07504938703,180345.2162209522,0.09839757122274713
monohull,Dufour,430,1,279106.13016869186,159542.5180200113,488272.5486880669,0.20177134958507498
monohull,Dufour,430 GL,4,277410.49842424714,208910.55711946657,368370.97031904047,0.12941455570745625
monohull,Dufour,44,2,140351.1303332793,115780.41909651352,170136.19349061698,0.0801715901748743
monohull,Dufour,44 Performance,2,136657.18779413428,130639.36572556633,142952.2171366951,0.018760640899564862
monohull,Dufour,445,1,198436.9924493285,113430.46254322343,347148.7208061935,0.20177134958507498
monohull,Dufour,445 GL,6,190341.24158713748,111784.12085757486,324104.96205533284,0.2514116207215401
monohull,Dufour,45 Performance,1,183043.09226255625,104631.00838411208,320218.395506989,0.20177134958507498
monohull,Dufour,450 GL,4,199263.6058047612,169736.63952742025,233927.010154463,0.0731881221059878
monohull,Dufour,450 Liberty version,1,201272.52686628437,115051.30942516084,352109.2482436345,0.20177134958507498
monohull,Dufour,455,5,147397.34837920274,128917.27384334094,168526.51054056003,0.06239243637461323
monohull,Dufour,455 GL,11,148349.6797725258,103384.1891807937,212872.27440672752,0.17640113159570028
monohull,Dufour,45e Performance,4,173878.56429599223,119401.72220412442,253210.37723349652,0.17152171247864556
monohull,Dufour,460,8,237691.66193400064,172985.37684083483,326601.746255875,0.15285398934620023
monohull,Dufour,460 GL,19,246860.00782926776,170725.71675382747,356946.01038539753,0.1833805315463173
monohull,Dufour,460 Performance,1,274813.2068393689,157088.59915691405,480762.4427148871,0.20177134958507498
monohull,Dufour,485,2,196647.6116884795,157270.14025682726,245884.457911929,0.09308410470358286
monohull,Dufour,485 GL,5,195089.36339614552,172955.86150028268,220055.33307844045,0.056086278171359846
monohull,Dufour,500,2,269009.32757003297,268996.8120408896,269021.8436814824,1.9381629125625466e-05
