artifact,type,subclass
01,high-potassium,1
03,high-potassium,1
04,high-potassium,1
05,high-potassium,1
06,high-potassium,1
07,high-potassium,2
09,high-potassium,2
10,high-potassium,2
12,high-potassium,2
13,high-potassium,1
14,high-potassium,1
16,high-potassium,1
18,high-potassium,2
21,high-potassium,2
22,high-potassium,2
27,high-potassium,2
02,lead-barium,3
08,lead-barium,2
11,lead-barium,3
19,lead-barium,3
20,lead-barium,2
23,lead-barium,1
24,lead-barium,2
25,lead-barium,1
26,lead-barium,2
28,lead-barium,3
29,lead-barium,1
30,lead-barium,3
31,lead-barium,3
32,lead-barium,1
33,lead-barium,1
34,lead-barium,2
35,lead-barium,1
36,lead-barium,1
37,lead-barium,2
38,lead-barium,1
39,lead-barium,2
40,lead-barium,3
41,lead-barium,3
42,lead-barium,1
43,lead-barium,3
44,lead-barium,1
45,lead-barium,1
46,lead-barium,1
47,lead-barium,1
48,lead-barium,1
49,lead-barium,3
50,lead-barium,3
51,lead-barium,3
52,lead-barium,3
53,lead-barium,1
54,lead-barium,3
55,lead-barium,1
56,lead-barium,2
57,lead-barium,2
58,lead-barium,3
